Name,years played,All Star Game appearances,WAR,games played,plate appearances,at-bats,runs,hits,doubles,triples,homeruns,RBI,stolen bases,walks,strikeouts,BA,OBP,SLG,OPS
Rick Ferrell,18,8,33.7,1884,7076,6028,687,1692,324,45,28,734,29,931,277,0.281,0.378,0.363,0.741
Carlton Fisk,24,11,68.5,2499,9853,8756,1276,2356,421,47,376,1330,128,849,1386,0.269,0.341,0.457,0.797
Elmer Flick,13,0,53.2,1483,6417,5597,950,1752,268,164,48,756,330,597,567,0.313,0.389,0.445,0.834
Nellie Fox,19,15,49,2367,10351,9232,1279,2663,355,112,35,790,76,719,216,0.288,0.348,0.363,0.71
Jimmie Foxx,20,9,95.8,2317,9676,8134,1751,2646,458,125,534,1922,87,1452,1311,0.325,0.428,0.609,1.038
Frankie Frisch,19,3,70.4,2311,10099,9112,1532,2880,466,138,105,1244,419,728,272,0.316,0.369,0.432,0.801
Lou Gehrig,17,7,112.4,2164,9665,8001,1888,2721,534,163,493,1995,102,1508,790,0.34,0.447,0.632,1.08
Charlie Gehringer,19,6,80.7,2323,10244,8860,1775,2839,574,146,184,1427,181,1186,372,0.32,0.404,0.48,0.884
Joe Gordon,11,9,57.2,1566,6535,5707,914,1530,264,52,253,975,89,759,702,0.268,0.357,0.466,0.822
Goose Goslin,18,1,66.1,2287,9829,8656,1482,2735,500,173,248,1612,176,949,585,0.316,0.387,0.5,0.887
Hank Greenberg,13,5,57.6,1394,6098,5193,1046,1628,379,71,331,1274,58,852,844,0.313,0.412,0.605,1.017
Ken Griffey Jr,22,13,83.8,2671,11304,9801,1662,2781,524,38,630,1836,184,1312,1779,0.284,0.37,0.538,0.907
Vladimir Guerrero,16,9,59.4,2147,9059,8155,1328,2590,477,46,449,1496,181,737,985,0.318,0.379,0.553,0.931
Tony Gwynn,20,15,69.2,2440,10232,9288,1383,3141,543,85,135,1138,319,790,434,0.338,0.388,0.459,0.847
Chick Hafey,13,1,30.1,1283,5115,4625,777,1466,341,67,164,833,70,372,477,0.317,0.372,0.526,0.898
Billy Hamilton,14,0,63.3,1594,7608,6283,1697,2164,242,95,40,742,914,1189,362,0.344,0.455,0.432,0.888
Gabby Hartnett,20,6,60.1,1990,7297,6432,867,1912,396,64,236,1179,28,703,697,0.297,0.37,0.489,0.858
Harry Heilmann,17,0,72.2,2147,8965,7787,1291,2660,542,151,183,1543,113,856,550,0.342,0.41,0.52,0.93
Rickey Henderson,25,10,111.2,3081,13346,10961,2295,3055,510,66,297,1115,1406,2190,1694,0.279,0.401,0.419,0.82
Billy Herman,15,10,54.8,1922,8638,7707,1163,2345,486,82,47,839,67,737,428,0.304,0.367,0.407,0.774
Harry Hooper,17,0,53.3,2309,10255,8785,1429,2466,389,160,75,816,375,1136,582,0.281,0.368,0.387,0.755
Rogers Hornsby,23,0,127,2259,9480,8173,1579,2930,541,169,301,1584,135,1038,679,0.358,0.434,0.577,1.01
Miller Huggins,13,0,35.6,1586,6794,5558,948,1474,146,50,9,318,324,1003,556,0.265,0.382,0.314,0.696
Reggie Jackson,21,14,74,2820,11418,9864,1551,2584,463,49,563,1702,228,1375,2597,0.262,0.356,0.49,0.846
Travis Jackson,15,1,44,1656,6681,6086,833,1768,291,86,135,929,71,412,565,0.291,0.337,0.433,0.77
Hughie Jennings,18,0,42.3,1284,5648,4895,992,1526,232,88,18,840,359,347,234,0.312,0.391,0.406,0.797
Chipper Jones,19,8,85.2,2499,10614,8984,1619,2726,549,38,468,1623,150,1512,1409,0.303,0.401,0.529,0.93
Al Kaline,22,18,92.8,2834,11596,10116,1622,3007,498,75,399,1582,137,1277,1020,0.297,0.376,0.48,0.855
Willie Keeler,19,0,54.2,2123,9607,8591,1719,2932,241,145,33,810,495,524,136,0.341,0.388,0.415,0.802
George Kell,15,10,37.4,1795,7529,6702,880,2054,385,50,78,870,51,621,287,0.306,0.367,0.414,0.781
Joe Kelley,17,0,50.6,1853,8138,7006,1421,2220,358,194,65,1194,443,911,430,0.317,0.402,0.451,0.853
